Extension,legacy,4.0.0,post-4.0.0,4.0.1,post-4.0.1,4.1.0,post-4.1.0,4.1.1,post-4.1.1,4.2.0,post-4.2.0,4.2.1,post-4.2.1,4.2.2,post-4.2.2,4.2.2-1,post-4.2.2-1,4.3.0,post-4.3.0,4.3.1,post-4.3.1,4.3.1-1,post-4.3.1-1,4.4.0,post-4.4.0,4.5.0-1,post-4.5.0-1,4.6.0,post-4.6.0,4.6.2,post-4.6.2,4.8.0,post-4.8.0,4.8.1,post-4.8.1,4.10.0,post-4.10.0,4.10.1,post-4.10.1,4.10.2,post-4.10.2,4.11.20200930,post-4.11.20200930,4.11.20210226,post-4.11.20210226,unknown
ShapeQuantifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,33,339,273,4155,216,674,498,2721,0,756,520,1200,5869,3037,623,44,237,39,24
SlicerOpenCV,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3705,72,499,875,5508,271,688,820,3011,0,670,357,1006,1879,1786,969,102,145,54,8
Cardiac_MRI_Toolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,62,849,439,1092,0,4134,0,7395,384,5713,82,482,654,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FiberViewerLight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,4497,67,845,448,1091,0,3079,265,5277,303,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
FilmDosimetryAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,66,495,537,4962,178,621,461,2654,0,862,268,1067,3659,2906,1112,55,102,35,25
DSCMRIAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4849,78,486,729,5676,229,701,722,3357,0,912,299,374,1345,0,0,0,0,0,0
PortPlacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,79,859,279,1098,0,7324,339,6919,0,0,0,0,0,445,16,95,0,0,0,0,0,0,0,0,0,0,0,26,0
PathReconstruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,555,42,914,13757,2899,149,57,159,9,25
LASegmenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,576,372,699,0,6730,0,0,0,0,0,0,0,76,100,677,335,2961,0,878,159,954,790,2958,199,29,56,7,24
AnomalousFiltersExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,374,4208,201,711,640,3338,0,917,519,976,2599,3125,367,77,155,23,26
BoneTextureExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,246,706,706,3521,0,913,312,1054,2900,3239,1865,105,213,105,24
DeepInfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,277,719,964,3556,0,939,680,1052,1293,3399,485,106,248,92,24
SlicerOpenIGTLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3366,0,1012,715,1084,4279,4058,986,164,402,142,24
DatabaseInteractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4419,125,667,308,2885,0,863,148,934,2666,2888,146,35,71,46,24
SegmentMesher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,564,3157,0,958,434,1031,5174,3443,700,125,246,96,24
ModelClip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,59,860,347,1097,0,301,0,0,0,0,0,0,0,0,168,695,544,2955,0,887,209,952,1220,3032,248,55,186,39,22
SegmentationAidedRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,84,865,604,1096,0,7415,648,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,291,58,115,49,21
OpenCVExample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,41,464,271,5142,60,624,173,2639,0,602,71,893,412,1343,0,0,0,0,0
SlicerVirtualReality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,415,353,430,9939,1340,279,40,179,11,9
exStone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,42,626,98,2233,0,561,109,519,9945,857,0,0,0,5,8
SequenceRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,214,615,420,2969,0,840,368,1202,3162,3197,265,67,109,46,25
MarginCalculator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,729,368,3679,0,0,0,0,190,678,528,2988,0,880,254,761,1293,1570,0,0,0,0,0
CBC_3D_I2MConversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,603,6576,480,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlicerITKUltrasound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4838,159,676,427,1466,0,346,144,722,436,2920,187,30,67,14,24
ShapeVariationAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,207,631,472,2742,0,780,524,1044,617,2285,940,79,300,83,24
SlicerCochlea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,903,363,1097,5356,3156,261,66,260,51,25
VASSTAlgorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,909,344,991,4994,3187,268,64,116,53,24
SlicerCervicalSpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,693,6153,2979,367,65,1082,37,25
Sandbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,98,2784,0,840,65,903,983,3731,1028,225,555,172,25
GraphCutSegment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,297,3174,42,405,436,3920,145,477,417,197,0,0,0,0,0,1109,207,51,84,34,8
SlicerJupyter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,734,352,1168,2723,3773,1152,207,269,95,24
FacetedVisualizer,0,0,0,0,0,0,0,0,3282,70,310,57,224,0,0,108,4588,56,858,275,1091,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlicerVASST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,554,293,662,8171,142,0,0,0,0,0
DTIAtlasBuilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,2942,58,551,508,725,0,2556,54,918,0,1167,0,0,0,0,0,0,0,32,0,129,80,134,263,0,0,0,0,0,56
ZFrameRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,85,677,406,3035,0,853,208,963,562,3002,192,40,91,41,24
ShapeRegressionExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,2538,0,703,80,921,2542,2851,112,30,41,24,24
DiffusionQC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,561,91,1091,3216,3340,400,122,907,62,25
SlicerAstro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,54,473,411,3087,27,423,100,1614,0,554,46,413,0,1768,32,1,12,12,51
SlicerPathology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,47,483,535,5069,140,610,404,274,0,0,0,0,0,0,0,0,0,0,0
SlicerFab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,913,387,1078,2652,3008,261,64,130,47,24
NvidiaAIAssistedAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2143,3534,2248,376,891,288,25
SlicerProstateAblation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,833,207,936,2954,2863,97,40,123,25,24
LightWeightRobotIGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906,147,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlicerCaseIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,3104,0,868,287,925,390,2840,117,33,36,24,24
PedicleScrewSimulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,911,255,964,1452,3049,942,47,89,54,25
MABMIS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126,379,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlicerDcm2nii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,1483,4145,1058,253,648,169,25
DTIAtlasFiberAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,327,0,0,676,18,0,3108,63,1151,323,1334,0,0,0,0,0,0,0,0,0,0,51,242,276,592,0,0,0,0,88
SlicerIGSIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,214,742,2286,2983,329,83,136,70,16
PETCPhantom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,871,121,924,468,2893,201,41,68,34,24
GeodesicSlicer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,129,947,1892,2903,936,36,76,34,24
SlicerMorph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938,1263,212,1450,127,25
SurfaceWrapSolidify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155,1127,301,688,202,26
RegistrationQA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,938,0,2843,183,55,823,23,22
OsteotomyPlanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,891,257,292,990,0,0,0,92,26,0
RawImageGuess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1188,208,608,144,26
LesionSimulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,3101,140,25,60,36,22
SlicerOpenAnatomy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,266,57,111,52,24
DTIPrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,103,0,0,254,15,0,1510,274,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Auto3dgm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,1154,245,699,138,0
LesionSpotlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,36,841,0,271,258,313,53,893,8,1,5,8,8
VirtualFractureReconstruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,64,638,210,303,0,0,0,0,0,0,0,0,0,0,0
SlicerCMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,763,94,1201,64,0
BrainVolumeRefinement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,431,93,173,49,24
CleverSeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,273,73,108,43,25
